huff_rank,selected_for_next_step,selection_method,ykiho,hospital_name,hospital_type,disease,specialist_score,hospital_weight,capability_score,straight_distance_km,huff_utility,huff_probability,cumulative_probability,kneedle_score,tmap_success,tmap_error,route_distance_km,route_duration_min,taxi_fare,toll_fare,final_utility,final_probability,is_pareto,matched_reason
1,True,kneedle,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNTEjJDEjJDYjJDgz,강원대학교병원,종합병원,암,14.0,1.0,14.0,1.4900562735349319,5.537363661294079,0.5181231316266084,0.5181231316266084,0.5181231316266084,True,,2.526,7.45,6730,0,0.24560326301478005,0.5694764557622519,True,방사선종양학과 전문의 1명 이상
2,True,kneedle,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNjEjJDEjJDAjJDgz,한림대학교춘천성심병원,종합병원,암,5.0,1.0,5.0,0.9436349115440631,4.59063546032532,0.4295391392632598,0.9476622708898682,0.9388127133677443,True,,1.592,6.383333333333334,5890,0,0.1189524256382128,0.2758131342607436,True,외과·병리과·핵의학과 전문의 각각 1명 이상
3,True,kneedle,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz,재단법인아산사회복지재단 서울아산병원,상급종합,암,185.0,2.0,370.0,67.44491553135664,0.08109916789917199,0.0075883321765453995,0.9552506030664136,0.9375514880221658,True,,86.42,74.36666666666666,88980,0,0.06672335814453764,0.15471040997700447,True,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
4,False,,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,삼성서울병원,상급종합,암,133.0,2.0,266.0,71.60794613649438,0.05173054685442622,0.004840352661740932,0.9600909557281545,0.9335422831617828,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
5,False,,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,서울대학교병원,상급종합,암,102.0,2.0,204.0,72.49070768975517,0.03871400543286344,0.003622413653792254,0.9637133693819467,0.9283151392934512,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
6,False,,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,연세대학교의과대학세브란스병원,상급종합,암,111.0,2.0,222.0,77.93113660365397,0.03646003730151944,0.0034115131064863893,0.9671248824884331,0.9228770948778137,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
7,False,,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDIjJDgz,학교법인가톨릭학원가톨릭대학교서울성모병원,상급종합,암,77.0,2.0,154.0,76.51622251174426,0.026234890110578564,0.0024547608308601227,0.9695796433192932,0.9164822981865499,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
8,False,,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,분당서울대학교병원,상급종합,암,63.0,2.0,126.0,79.50430682618284,0.0198837097596397,0.0018604900452955726,0.9714401333645888,0.9094932307097215,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
9,False,,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),상급종합,암,44.0,2.0,88.0,69.98216112073942,0.017917099305553706,0.001676477141414426,0.9731166105060032,0.902320150329012,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
10,False,,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz,아주대학교병원,상급종합,암,67.0,2.0,134.0,89.95288766330374,0.01652378407433201,0.001546106644712223,0.9746627171507154,0.8950166994516003,,,,,,,,,,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
