ykiho,hospital_name,hospital_type,address,latitude,longitude,departments,specialists,equipment,special_treatments
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,가톨릭대학교 성빈센트병원,상급종합,"경기도 수원시 팔달구 중부대로 93, (지동)",37.2779855,127.0274271,[],{},[],[]
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz,가톨릭대학교인천성모병원,상급종합,"인천광역시 부평구 동수로 56, (부평동)",37.4848309,126.7248987,[],{},[],[]
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,강릉아산병원,상급종합,"강원특별자치도 강릉시 사천면 방동길 38-0, 강릉아산병원",37.8184324,128.8578411,[],{},[],[]
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,강북삼성병원,상급종합,"서울특별시 종로구 새문안로 29, (평동)",37.5684083,126.9677500,[],{},[],[]
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,건국대학교병원,상급종합,"서울특별시 광진구 능동로 120-1, (화양동)",37.5403764,127.0718276,[],{},[],[]
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz,경북대학교병원,상급종합,"대구광역시 중구 동덕로 130, (삼덕동2가, 경북대학교병원)",35.8662525,128.6047030,[],{},[],[]
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDQjJDgz,경상국립대학교병원,상급종합,"경상남도 진주시 강남로 79, (칠암동)",35.1759944,128.0964924,[],{},[],[]
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,경희대학교병원,상급종합,"서울특별시 동대문구 경희대로 23, (회기동)",37.5941195,127.0518520,"[""내과"", ""신경과"", ""정신건강의학과"", ""외과"", ""정형외과"", ""신경외과"", ""심장혈관흉부외과"", ""성형외과"", ""마취통증의학과"", ""산부인과"", ""소아청소년과"", ""안과"", ""이비인후과"", ""피부과"", ""비뇨의학과"", ""영상의학과"", ""방사선종양학과"", ""병리과"", ""진단검사의학과"", ""재활의학과"", ""핵의학과"", ""가정의학과"", ""응급의학과"", ""직업환경의학과"", ""구강악안면외과""]","{""가정의학과"": 3, ""내과"": 66, ""마취통증의학과"": 13, ""방사선종양학과"": 3, ""병리과"": 5, ""비뇨의학과"": 5, ""산부인과"": 6, ""성형외과"": 3, ""소아청소년과"": 14, ""신경과"": 11, ""신경외과"": 7, ""심장혈관흉부외과"": 4, ""안과"": 7, ""영상의학과"": 19, ""외과"": 16, ""응급의학과"": 10, ""이비인후과"": 7, ""재활의학과"": 7, ""정신건강의학과"": 7, ""정형외과"": 17, ""직업환경의학과"": 4, ""진단검사의학과"": 6, ""피부과"": 3, ""핵의학과"": 3}","[""유방촬영장치"", ""인큐베이터"", ""초음파영상진단기"", ""종양치료기 (Gamma Knife)"", ""양전자단층촬영기 (PET)"", ""골밀도검사기"", ""인공호흡기"", ""일반엑스선촬영장치"", ""혈액투석을위한인공신장기"", ""CT"", ""MRI"", ""ECMO"", ""분만감시기"", ""체외충격파쇄석기""]","[""(정신질환)병원기반 시범기관"", ""가정용 인공호흡기 환자 재택의료 시범기관"", ""암환자 재택의료 시범기관"", ""제3차의료급여기관"", ""신속대응시스템 시범기관"", ""경피적 좌심방이 폐색술 실시기관"", ""응급의료기관"", ""상급종합병원 심층진찰 시범기관"", ""가정간호실시기관"", ""재활환자 재택의료 시범기관"", ""자문형 호스피스전문기관"", ""복막투석 환자 재택관리 시범기관"", ""인공와우 실시기관"", ""HPV 국가예방접종사업 참여기관"", ""수면다원검사 실시기관"", ""경피적 대동맥판삽입 실시기관"", ""간호간병통합서비스 제공기관"", ""1형 당뇨병 환자 재택의료 시범기관"", ""차세대염기서열분석 기반 유전자 패널검사 실시기관"", ""조혈모세포이식 실시기관"", ""성인 중환자실"", ""신생아 중환자실""]"
JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz,계명대학교동산병원,상급종합,"대구광역시 달서구 달구벌대로 1035, (신당동)",35.8538856,128.4801315,"[""내과"", ""신경과"", ""정신건강의학과"", ""외과"", ""정형외과"", ""신경외과"", ""심장혈관흉부외과"", ""성형외과"", ""마취통증의학과"", ""산부인과"", ""소아청소년과"", ""안과"", ""이비인후과"", ""피부과"", ""비뇨의학과"", ""영상의학과"", ""방사선종양학과"", ""병리과"", ""진단검사의학과"", ""재활의학과"", ""핵의학과"", ""가정의학과"", ""응급의학과"", ""직업환경의학과"", ""구강악안면외과"", ""치과보철과"", ""치과교정과"", ""소아치과"", ""치주과"", ""치과보존과"", ""구강내과"", ""예방치과""]","{""가정의학과"": 3, ""구강악안면외과"": 2, ""내과"": 62, ""마취통증의학과"": 9, ""방사선종양학과"": 5, ""병리과"": 7, ""비뇨의학과"": 6, ""산부인과"": 10, ""성형외과"": 6, ""소아청소년과"": 9, ""신경과"": 8, ""신경외과"": 5, ""심장혈관흉부외과"": 8, ""안과"": 7, ""영상의학과"": 13, ""예방의학과"": 1, ""외과"": 19, ""응급의학과"": 13, ""이비인후과"": 5, ""재활의학과"": 4, ""정신건강의학과"": 4, ""정형외과"": 9, ""직업환경의학과"": 3, ""진단검사의학과"": 5, ""치과보철과"": 1, ""피부과"": 3, ""핵의학과"": 2}","[""인큐베이터"", ""혈액투석을위한인공신장기"", ""양전자단층촬영기 (PET)"", ""체외충격파쇄석기"", ""ECMO"", ""초음파영상진단기"", ""일반엑스선촬영장치"", ""유방촬영장치"", ""골밀도검사기"", ""MRI"", ""인공호흡기"", ""분만감시기"", ""CT"", ""콘빔CT""]","[""응급의료기관"", ""차세대염기서열분석 기반 유전자 패널검사 실시기관"", ""조혈모세포이식 실시기관"", ""경피적 좌심방이 폐색술 실시기관"", ""인공와우 실시기관"", ""가정간호실시기관"", ""(정신질환)병원기반·낮병동 시범기관"", ""복막투석 환자 재택관리 시범기관"", ""결핵환자 재택의료 시범기관"", ""심장질환자 재택의료 시범기관"", ""경피적 대동맥판삽입 실시기관"", ""간호간병통합서비스 제공기관"", ""수면다원검사 실시기관"", ""자문형 호스피스전문기관"", ""제3차의료급여기관"", ""상급종합병원 심층진찰 시범기관"", ""심실 보조장치 치료술 실시기관(이식형)"", ""성인 중환자실"", ""소아 중환자실"", ""신생아 중환자실""]"
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,고려대학교의과대학부속구로병원,상급종합,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",37.4920520,126.8848701,"[""내과"", ""신경과"", ""정신건강의학과"", ""외과"", ""정형외과"", ""신경외과"", ""심장혈관흉부외과"", ""성형외과"", ""마취통증의학과"", ""산부인과"", ""소아청소년과"", ""안과"", ""이비인후과"", ""피부과"", ""비뇨의학과"", ""영상의학과"", ""방사선종양학과"", ""병리과"", ""진단검사의학과"", ""재활의학과"", ""핵의학과"", ""가정의학과"", ""응급의학과"", ""구강악안면외과"", ""치과보철과"", ""치과교정과"", ""치주과"", ""치과보존과"", ""예방치과""]","{""가정의학과"": 10, ""구강악안면외과"": 3, ""마취통증의학과"": 16, ""방사선종양학과"": 3, ""병리과"": 6, ""비뇨의학과"": 7, ""산부인과"": 12, ""성형외과"": 6, ""소아청소년과"": 19, ""신경과"": 12, ""신경외과"": 12, ""심장혈관흉부외과"": 7, ""안과"": 10, ""영상의학과"": 30, ""외과"": 30, ""응급의학과"": 10, ""이비인후과"": 8, ""재활의학과"": 4, ""정신건강의학과"": 6, ""정형외과"": 16, ""진단검사의학과"": 6, ""치과교정과"": 3, ""치과보존과"": 1, ""치과보철과"": 3, ""치주과"": 1, ""피부과"": 4, ""핵의학과"": 3}","[""양전자단층촬영기 (PET)"", ""인큐베이터"", ""혈액투석을위한인공신장기"", ""일반엑스선촬영장치"", ""유방촬영장치"", ""인공호흡기"", ""분만감시기"", ""콘빔CT"", ""골밀도검사기"", ""초음파영상진단기"", ""CT"", ""체외충격파쇄석기"", ""MRI"", ""종양치료기 (Gamma Knife)"", ""ECMO""]","[""가정간호실시기관"", ""심실 보조장치 치료술 실시기관(이식형)"", ""1형 당뇨병 환자 재택의료 시범기관"", ""자문형 호스피스전문기관"", ""응급의료기관"", ""상급종합병원 심층진찰 시범기관"", ""심장질환자 재택의료 시범기관"", ""인공와우 실시기관"", ""(정신질환)병원기반 시범기관"", ""제3차의료급여기관"", ""복막투석 환자 재택관리 시범기관"", ""측두하악관절자극요법 실시기관"", ""암환자(요루) 재택의료 시범기관"", ""경피적 좌심방이 폐색술 실시기관"", ""선천성 악안면 기형의 치과교정 및 악정형 치료 실시기관"", ""신속대응시스템 시범기관"", ""조혈모세포이식 실시기관"", ""경피적 대동맥판삽입 실시기관"", ""난임시술(체외)"", ""난임시술(인공)"", ""간호간병통합서비스 제공기관"", ""차세대염기서열분석 기반 유전자 패널검사 실시기관"", ""수면다원검사 실시기관"", ""암환자 재택의료 시범기관"", ""성인 중환자실"", ""신생아 중환자실""]"
