huff_rank,selected_for_next_step,selection_method,ykiho,hospital_name,hospital_type,disease,specialist_score,hospital_weight,capability_score,straight_distance_km,huff_utility,huff_probability,cumulative_probability,kneedle_score,tmap_success,tmap_error,route_distance_km,route_duration_min,taxi_fare,toll_fare,final_utility,final_probability,is_pareto,matched_reason
1,True,kneedle,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjODEjJDEjJDIjJDgz,화순전남대학교병원,상급종합,암,32.0,2.0,64.0,52.53514113664233,0.023100872886278243,0.1853407317391132,0.1853407317391132,0.1853407317391132,True,,73.467,75.98333333333333,121400,0,0.011056073342458754,0.13301381957255337,True,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
2,True,kneedle,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNTEjJDEjJDYjJDgz,전남대학교병원,상급종합,암,31.0,2.0,62.0,58.647882026033564,0.017964174346752654,0.14412845934033247,0.32946919107944567,0.32061963355732176,True,,79.229,73.56666666666666,127600,0,0.011424827501484412,0.13745024086390847,True,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
3,True,kneedle,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,조선대학교병원,상급종합,암,18.0,2.0,36.0,58.45967477473968,0.010497966645313599,0.08422629003646691,0.4136954811159126,0.3959963660716648,True,,77.429,72.61666666666666,124600,0,0.006808235590587386,0.08190877469816363,True,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
4,True,kneedle,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDQjJDgz,광주기독병원,종합병원,암,13.0,1.0,13.0,57.873733508782266,0.0038679496544006845,0.031032966711076086,0.44472844782698867,0.418179775260617,True,,75.552,73.31666666666666,121900,0,0.0024118707330051375,0.029016824380157576,False,외과·병리과·핵의학과 전문의 각각 1명 이상
5,True,kneedle,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz,재단법인아산사회복지재단 서울아산병원,상급종합,암,185.0,2.0,370.0,323.42173180858487,0.003535043861134806,0.02836202853363874,0.4730904763606274,0.4376922462721318,True,,364.459,254.0,628800,0,0.005730498378346398,0.06894269364431191,True,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
6,True,kneedle,JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNDEjJDEjJDQjJDgz,전북대학교병원,상급종합,암,30.0,2.0,60.0,139.55051607410172,0.003076565463301927,0.02468360814843345,0.49777408450906085,0.4535262968984414,True,,169.762,137.3,277900,0,0.0031781748377541744,0.038236104387586275,False,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
7,True,kneedle,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,삼성서울병원,상급종합,암,133.0,2.0,266.0,318.99125671268513,0.002612473102687695,0.020960146349642866,0.5187342308587037,0.4656368857259604,True,,358.008,247.33333333333334,616100,0,0.00434475433254492,0.05227103248825572,True,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
8,True,kneedle,JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDgjJDgz,원광대학교병원,상급종합,암,24.0,2.0,48.0,149.33530027522943,0.002149487066022955,0.017245560704205833,0.5359797915629095,0.4740328889080423,True,,190.036,130.03333333333333,310600,0,0.0028344195108841713,0.03410043997861428,False,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
9,True,kneedle,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,연세대학교의과대학세브란스병원,상급종합,암,111.0,2.0,222.0,326.2800979876169,0.0020840380189811485,0.016720456119194177,0.5527002476821037,0.48190378750511254,True,,378.006,249.63333333333333,648500,0,0.0035595897414262704,0.042824845037893904,False,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
10,True,kneedle,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,서울대학교병원,상급종합,암,102.0,2.0,204.0,328.5122523506282,0.0018891335597603241,0.015156717152747547,0.5678569648348513,0.4882109471357362,True,,368.75,257.95,637700,0,0.0030635321376722806,0.03685685671513803,False,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
11,True,kneedle,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNzEjJDEjJDgjJDgz,칠곡경북대학교병원,상급종합,암,42.0,2.0,84.0,220.41483605263315,0.0017274427318159896,0.01385945464174924,0.5817164194766005,0.4932208442553615,True,,289.441,208.0,488000,0,0.0019397025004381648,0.02333624519537916,True,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
12,True,kneedle,JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEyMjIjNjEjJDEjJDQjJDgz,학교법인성균관대학삼성창원병원,상급종합,암,28.0,2.0,56.0,180.48794112470998,0.0017171590919817293,0.013776947918249826,0.5954933673948503,0.49814823465148744,True,,221.516,152.18333333333334,357900,0,0.0024148117364977077,0.02905220711467876,False,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
13,True,kneedle,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjNDEjJDEjJDgjJDgz,성가롤로병원,종합병원,암,11.0,1.0,11.0,80.74617995590675,0.0016829595476104597,0.01350256137839399,0.6089959287732443,0.5028012385077576,True,,96.547,76.8,158700,0,0.0018601159021308477,0.022378751779792923,False,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상
14,True,kneedle,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,부산대학교병원,상급종합,암,38.0,2.0,76.0,212.76475030002834,0.0016772820256961024,0.013457010023202693,0.6224529387964469,0.5074086910088363,True,,269.374,188.43333333333334,443000,0,0.0021381457200074423,0.02572368328353084,True,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
15,True,kneedle,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz,계명대학교동산병원,상급종합,암,33.0,2.0,66.0,207.19116871007353,0.0015359685925074944,0.012323237492585454,0.6347761762890324,0.5108823709792979,True,,274.729,200.31666666666666,460600,0,0.0016431464248512068,0.019768427299328938,False,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
16,True,kneedle,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz,아주대학교병원,상급종합,암,67.0,2.0,134.0,295.56374037063284,0.0015328817894398308,0.012298471747060957,0.6470746480360934,0.514331285204235,True,,335.377,234.13333333333333,573500,0,0.002442347189616809,0.02938348167116774,True,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
17,True,kneedle,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE4MzIjODEjJDEjJDIjJDgz,학교법인가톨릭학원가톨릭대학교서울성모병원,상급종합,암,77.0,2.0,154.0,319.8112882503597,0.0015047404353356133,0.012072690704609385,0.6591473387407027,0.5175544183867204,True,,360.013,247.15,620200,0,0.0025191157331250426,0.030307071527960514,True,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
18,True,kneedle,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz,영남대학교병원,상급종합,암,34.0,2.0,68.0,213.86099113161018,0.0014853873146736863,0.01191741858296382,0.6710647573236665,0.5206222794475603,True,,275.196,205.06666666666666,461600,0,0.0016154566469639908,0.019435296086663233,False,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
19,True,kneedle,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz,고신대학교복음병원,상급종합,암,31.0,2.0,62.0,211.8283967660411,0.0013804268059029784,0.011075309386699301,0.6821400667103659,0.5228480313121358,True,,272.6,195.98333333333332,449600,0,0.001612539372023562,0.019400198826492254,False,방사선종양학과 전문의 1명 이상; 외과·병리과·핵의학과 전문의 각각 1명 이상; 특수진료 조혈모세포이식 포함
